0.72407,-0.18700,2.87396,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
0.69695,-0.17957,2.87396,0.38462,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
0.65777,-0.16882,2.87396,0.38462,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
0.67851,-0.38052,1.30267,-0.00885,-0.52316,1.00307,-0.00551,-0.03209,0.99518,-0.00453,-0.02638,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
0.40054,-0.66091,0.50723,-0.19560,-0.59998,1.00562,-0.00797,-0.04646,0.99166,-0.00682,-0.03977,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
0.08441,-0.73579,-0.05460,-0.24758,-0.60594,1.00811,-0.00865,-0.05042,0.98878,-0.00747,-0.04352,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
-0.18180,-0.67602,-0.50543,-0.29628,-0.66147,1.01006,-0.00933,-0.05439,0.98646,-0.00803,-0.04679,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
-0.79618,-0.56973,-1.81031,-0.68751,-1.31684,1.01013,-0.01492,-0.08692,0.98419,-0.01242,-0.07238,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
-0.79073,-0.22679,-2.55954,-0.58704,-1.32149,1.01773,-0.01368,-0.07969,0.97699,-0.01110,-0.06468,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
-0.65627,0.00393,-3.23530,-0.44280,-1.37509,1.02425,-0.01191,-0.06943,0.97129,-0.00918,-0.05351,6.40969,-0.62230,0.63500,-1.07950,3.68300,1.93040,1.16840,2.03200,1.71069,-1.07950
