1696047967.51583,0.55006,-0.03313,0.83447,-0.02601,0.99805,0.05676,-0.83472,-0.05293,0.54813,-0.17117,-0.02241,1.22254
1696047967.61293,0.55070,-0.03188,0.83409,-0.01821,0.99857,0.05018,-0.83451,-0.04282,0.54933,-0.17317,-0.02430,1.19633
1696047967.72593,0.54885,-0.03127,0.83534,-0.01368,0.99883,0.04637,-0.83581,-0.03688,0.54778,-0.16670,-0.03620,1.17556
1696047967.88498,0.54814,-0.03712,0.83556,-0.01381,0.99848,0.05342,-0.83627,-0.04082,0.54680,-0.16935,-0.03336,1.14876
1696047968.03425,0.55114,-0.03229,0.83379,-0.01701,0.99861,0.04991,-0.83424,-0.04170,0.54982,-0.16728,-0.03528,1.13392
1696047968.18341,0.54652,-0.02303,0.83713,-0.02009,0.99897,0.04060,-0.83721,-0.03901,0.54549,-0.16513,-0.03189,1.11450
1696047968.33020,0.54344,-0.02217,0.83916,-0.01940,0.99905,0.03896,-0.83922,-0.03745,0.54249,-0.16475,-0.03847,1.09040
1696047968.47491,0.54926,-0.03119,0.83507,-0.01484,0.99878,0.04706,-0.83552,-0.03825,0.54813,-0.16394,-0.03852,1.07161
1696047968.60548,0.55031,-0.02956,0.83444,-0.01640,0.99880,0.04620,-0.83480,-0.03911,0.54916,-0.16482,-0.04024,1.05447
1696047968.75347,0.54942,-0.03284,0.83490,-0.01855,0.99850,0.05148,-0.83534,-0.04377,0.54799,-0.16597,-0.03908,1.01983
1696047968.88321,0.56004,-0.03165,0.82786,-0.01479,0.99873,0.04818,-0.82833,-0.03923,0.55886,-0.17151,-0.04501,0.99551
1696047969.02234,0.56409,-0.03633,0.82492,-0.01296,0.99852,0.05284,-0.82561,-0.04049,0.56278,-0.17536,-0.04697,0.96724
1696047969.16270,0.56454,-0.03221,0.82477,-0.02122,0.99834,0.05352,-0.82513,-0.04772,0.56292,-0.17743,-0.03942,0.94287
1696047969.30508,0.56868,-0.03548,0.82179,-0.01421,0.99850,0.05293,-0.82243,-0.04178,0.56733,-0.17589,-0.04577,0.91322
1696047969.43983,0.57059,-0.02826,0.82075,-0.02147,0.99855,0.04932,-0.82095,-0.04577,0.56916,-0.17796,-0.04465,0.88978
1696047969.57909,0.57668,-0.02565,0.81657,-0.02285,0.99861,0.04750,-0.81665,-0.04605,0.57529,-0.17783,-0.04555,0.85620
1696047969.72548,0.58044,-0.03581,0.81352,-0.00490,0.99886,0.04747,-0.81429,-0.03153,0.57960,-0.18359,-0.05473,0.83606
1696047969.86730,0.58979,-0.01777,0.80736,-0.01903,0.99917,0.03590,-0.80733,-0.03653,0.58897,-0.18716,-0.04863,0.80808
1696047970.00406,0.59250,-0.03019,0.80500,-0.01716,0.99860,0.05008,-0.80539,-0.04348,0.59115,-0.19082,-0.04982,0.78821
1696047970.42121,0.16807,-0.03029,0.98531,-0.02759,0.99899,0.03542,-0.98539,-0.03314,0.16707,0.17338,-0.05089,0.70300
1696047970.64228,0.13853,-0.02556,0.99003,-0.03410,0.99895,0.03056,-0.98977,-0.03799,0.13752,0.19447,-0.04673,0.64369
1696047970.74570,0.13085,-0.01767,0.99124,-0.03364,0.99919,0.02225,-0.99083,-0.03626,0.13015,0.20170,-0.04785,0.62796
1696047970.88280,0.12211,-0.02326,0.99224,-0.03013,0.99918,0.02713,-0.99206,-0.03321,0.12131,0.20702,-0.05083,0.60885
1696047971.02099,0.10955,-0.01753,0.99383,-0.02678,0.99943,0.02058,-0.99362,-0.02887,0.10902,0.21217,-0.05365,0.58270
1696047971.15271,0.10816,-0.02742,0.99376,-0.03207,0.99900,0.03106,-0.99362,-0.03523,0.10717,0.21620,-0.04931,0.56560
1696047971.25281,0.11132,-0.02278,0.99352,-0.02815,0.99926,0.02606,-0.99339,-0.03087,0.11059,0.21449,-0.05265,0.55127
1696047971.40728,0.10527,-0.01220,0.99437,-0.02584,0.99955,0.01500,-0.99411,-0.02728,0.10491,0.21731,-0.05865,0.52747
1696047971.55498,0.10439,-0.01381,0.99444,-0.02386,0.99958,0.01638,-0.99425,-0.02544,0.10402,0.21928,-0.06003,0.50937
1696047971.70800,0.09991,-0.01466,0.99489,-0.02748,0.99947,0.01748,-0.99462,-0.02909,0.09946,0.22015,-0.05734,0.48006
